ID;Nombre;Edad;Ingreso_Mensual;Fecha_Registro;Suscripcion_Activa;Categoria;Puntaje
566;"Compañía ""ACME""_566";56;-;2021-11-09;SI; c ;67.34
1763;García_1763;36;$7.901,23;2020-09-15;False;;83.94
725;Lía_725;49;6717.0;2024-07-18;NO; Z ;59.88
1780;Sofía_1780;56;7.947,17;13/08/2019;False;a;66.76
1456;O'Connor-1456;56;7599.0;31/02/2022;False;A;51.29
1702;François-1702;31;$5.936,76;2021-09-24;True;c;96,93
1397;Müller-1397;29;2938.36;24-06-2020;T;D;73.17
747;Ana 747;32;4872.0;15-11-2020;True;C;66.04
656;André 656;63;$5.576,90;2024-03-28T00:00:00;true;Z;105.26
841;García 841;36;$4.042,16;2021-10-26;False;;84.28
109;García 109;35;NaN;0000-00-00;1;Z;109.67
1854;García 1854;51;NaN;21/03/2023;true;c;68.02
992;André-992;31;2223.0;2019-08-08;0; c ;31.15
949;José_949;N/A;3367.0;02-10-2024;true;D ;99.89
1739; Usuario_1739 ;62;$4.273,45;15/10/2024;T;c;97.03
1939;Lía-1939;24;2068.0;31/02/2022;true;A;106.47
1542;Lía_1542;43;7147.0;2023-09-28;False;D;80.89
1561;García 1561;28;5175.0;2022-01-03T00:00:00;SI;B;80.71
1285; Ana_1285 ;58;$2.847,27;2020-11-08T00:00:00;true;C;46,23
305;Tech–Labs_305;46;7.326,96;2021-06-21;true;D ;67.01
547;"Compañía ""ACME""_547";121;7906.28;0000-00-00;T;D;57,25
1036; Ana 1036 ;41;7.448,94;2024-08-24;NO;;61.0
1020; Müller_1020 ;68;7014.0;2022-10-07;NO;D;58.62
1960;Niño-1960;27;5118.0;31-03-2021;True;D;63.88
536;Niño-536;35;8856.0;13-04-2023;True;;43.75
1348; Renée_1348 ;51;4178.0;2020-12-04;NO; b ;76,86
1050;María-1050;52;7586.99;10/06/2025;True;A;34.99
606; Sofía-606 ;19;6424.0;22/01/2023;true;A;88.44
315; Müller 315 ;56;4.938,88;2024/08/02;True;a;61.92
1395;Usuario 1395;59;7.021,52;0000-00-00;False;A;96.97
1297;O'Connor 1297;32;8904.0;2023-12-08;True; ;96.62
1879;Renée 1879;32;5364.0;2025-05-29;1;Z;77.27
207;José 207;54;7853.0;2021-06-23;false;D ;64.89
1437;André 1437;66;3159.0;2020-02-25T00:00:00;True;D;60.1
1498;Usuario-1498;0;3363.0;2020-02-17;SI;C;59.64
1447;Ana 1447;50;$2.191,11;2021-10-15;True;Z;75,54
1200;Niño 1200;47;8349.0;0000-00-00;True;c;67,73
1800;Ana_1800;59;3362.0;2024/10/03;NO;C;90.72
1625;"Compañía ""ACME"" 1625";121;2.838,89;27/05/2023;False;B;83.7
954;" Compañía ""ACME""-954 ";36;—;2020-10-14;0;D ;83.9
337;Niño-337;28;2821.0;2020-03-30;0;a;30.46
1080;Tech–Labs-1080;30;$4.741,76;30-11-2024;1; B ;65,53
1192;Müller-1192;66;2835.0;24-02-2025;0; b ;50.51
267;André 267;41;3007.0;11-09-2022;False; b ;52.67
441;O'Connor_441;36;—;2024-03-16;False; a ;41.92
989; Sofía_989 ;48;6675.0;;F; b ;51.16
1506; José 1506 ;23;4602.0;23-01-2019;SI; ;36.94
1003;María_1003;34;3517.0;;True;B;49.67
1156;Tech–Labs-1156;25;2069.0;2024-10-05;0;;48.93
1540; Lía_1540 ;66;4747.0;31/02/2022;True;Z;52.81
1280;"Compañía ""ACME"" 1280";43;6453.0;25-05-2022;True;;100.17
976; María 976 ;21;8.621,49;2020-04-01;T;D;37.89
1999;Renée 1999;62;2814.07;;NO; D ;88.58
1588;José 1588;63;2941.0;2025-04-15T00:00:00;True;Z;73.73
13;Tech–Labs-13;-5;8873.0;;true;;61.61
1582;María_1582;30;5.374,15;2022-06-01;T;B;102.67
1512;Ñandú_1512;41;7406.0;30-08-2025;NO;C;90.51
1900;"Compañía ""ACME"" 1900";121;;2024-03-20;1;c;78.64
1342;François-1342;55;8789.0;28-09-2024;false;Z;66.09
565; Lía-565 ;51;3708.0;31/02/2022;F; a ;89.67
1876; Tech–Labs-1876 ;69;6244.0;31/02/2022;0; N/A ;55.94
92;Müller-92;42;$2.698,18;02/02/2025;False;;34.28
1125;"Compañía ""ACME"" 1125";34;8731.0;26/06/2019;F; N/A ;54.98
974;Müller-974;55;2672.0;2023-11-07;NO;A;61,34
548;Renée_548;48;8538.0;31/02/2022;1; C ;84,17
616;Lía_616;-5;5866.52;2023-09-02T00:00:00;T;A;91.61
1990; José_1990 ;64;4.582,45;2020-06-10;NO;N/A;34.31
1190;Ana-1190;56;—;05-05-2021;1;c;76.66
1299;María_1299;56;4225.86;20-06-2025;false;N/A;66.62
1700;Ñandú 1700;41;4588.0;2024-07-23;NO;N/A;53.26
484;O'Connor 484;N/A;3910.0;2021-10-09;SI;N/A;83.43
842;Niño_842;55;$3.573,36;02/02/2025;False;;52,53
44; García-44 ;69;4049.00;2022-08-20;true;a;107,23
754;Niño_754;65;4854.0;2023-02-12;True;C;71.44
1697;José-1697;46;6483.13;26-07-2024;F;D;81.58
1571;Niño_1571;47;2.252,18;2022-03-05;NO;A;81.47
1877;O'Connor-1877;49;4106.0;18/10/2021;NO;N/A;93.42
1954;Müller_1954;35;4.659,94;14/07/2020;False;a;94.37
1354;Usuario_1354;58;3865.0;2022-04-30;True;D ;86.19
1724;François_1724;49;7.156,95;2021-11-20;true;A;70.02
1392;José_1392;53;2495.0;2021-11-13;False;C;105.5
450;Renée 450;23;3900.0;2022/12/20;NO;D;98.22
396;Tech–Labs_396;55;3508.0;2023-05-17;SI;c;82.33
1635;François_1635;68;3754.82;27/07/2022;false;D;68,08
1810;Usuario 1810;58;2.912,55;2023-11-07;true; a ;107.51
1510;Niño-1510;29;8411.0;04-07-2020;F;C;65.05
1737;Niño 1737;20;6472.85;2023-05-05T00:00:00;SI;D;59.83
801; Niño-801 ;N/A;$4.040,39;2020-08-06;NO;Z;65.18
785;Ana-785;61;3448.58;27/09/2021;F;;35,58
1186;Müller-1186;42;5681.0;2022-12-14T00:00:00;F;a;80.31
1229; María 1229 ;53;7157.58;2024-08-04;1;C;87.45
1642;José-1642;64;7769.0;26-06-2023;False;N/A;39.01
302; André 302 ;-5;;11/04/2024;false;B;99.75
595;François-595;46;5.167,85;31/02/2022;False;c;35.02
1286;Ana-1286;50;—;2020-08-25;True;D;51.94
904;Tech–Labs_904;44;8215.0;17/03/2024;true;;71.05
1216;Usuario-1216;24;5625.0;20/09/2024;SI;Z;105.39
