order_id,Nombre,Edad,revenue,order_date,Suscripcion_Activa,category,Puntaje,status,region,product_name
566,"Compañía ""ACME""_566",56,0.0,2021-11-09,SI, c ,67.34,Completado,N/A,N/A
1763,García_1763,36,0.0,2020-09-15,False,,83.94,Completado,N/A,N/A
725,Lía_725,49,6717.0,2024-07-18,NO, Z ,59.88,Completado,N/A,N/A
1780,Sofía_1780,56,0.0,13/08/2019,False,a,66.76,Completado,N/A,N/A
1456,O'Connor-1456,56,7599.0,31/02/2022,False,A,51.29,Completado,N/A,N/A
1702,François-1702,31,0.0,2021-09-24,True,c,"96,93",Completado,N/A,N/A
1397,Müller-1397,29,2938.36,24-06-2020,T,D,73.17,Completado,N/A,N/A
747,Ana 747,32,4872.0,15-11-2020,True,C,66.04,Completado,N/A,N/A
656,André 656,63,0.0,2024-03-28T00:00:00,true,Z,105.26,Completado,N/A,N/A
841,García 841,36,0.0,2021-10-26,False,,84.28,Completado,N/A,N/A
109,García 109,35,0.0,0000-00-00,1,Z,109.67,Completado,N/A,N/A
1854,García 1854,51,0.0,21/03/2023,true,c,68.02,Completado,N/A,N/A
992,André-992,31,2223.0,2019-08-08,0, c ,31.15,Completado,N/A,N/A
949,José_949,,3367.0,02-10-2024,true,D ,99.89,Completado,N/A,N/A
1739, Usuario_1739 ,62,0.0,15/10/2024,T,c,97.03,Completado,N/A,N/A
1939,Lía-1939,24,2068.0,31/02/2022,true,A,106.47,Completado,N/A,N/A
1542,Lía_1542,43,7147.0,2023-09-28,False,D,80.89,Completado,N/A,N/A
1561,García 1561,28,5175.0,2022-01-03T00:00:00,SI,B,80.71,Completado,N/A,N/A
1285, Ana_1285 ,58,0.0,2020-11-08T00:00:00,true,C,"46,23",Completado,N/A,N/A
305,Tech–Labs_305,46,0.0,2021-06-21,true,D ,67.01,Completado,N/A,N/A
547,"Compañía ""ACME""_547",121,7906.28,0000-00-00,T,D,"57,25",Completado,N/A,N/A
1036, Ana 1036 ,41,0.0,2024-08-24,NO,,61.0,Completado,N/A,N/A
1020, Müller_1020 ,68,7014.0,2022-10-07,NO,D,58.62,Completado,N/A,N/A
1960,Niño-1960,27,5118.0,31-03-2021,True,D,63.88,Completado,N/A,N/A
536,Niño-536,35,8856.0,13-04-2023,True,,43.75,Completado,N/A,N/A
1348, Renée_1348 ,51,4178.0,2020-12-04,NO, b ,"76,86",Completado,N/A,N/A
